datetime,time_step,Electricity Pricing [$/kWh],1h Prediction Electricity Pricing [$],2h Prediction Electricity Pricing [$],3h Prediction Electricity Pricing [$],DR_Event_Timestep,DR_Event_Start,DR_Event,DR_Day
2022-01-08 19:00,187,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-08 20:00,188,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-08 21:00,189,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-08 22:00,190,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-08 23:00,191,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-09 0:00,192,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-09 1:00,193,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-09 2:00,194,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-09 3:00,195,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-09 4:00,196,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-09 5:00,197,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-09 6:00,198,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-09 7:00,199,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-09 8:00,200,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-09 9:00,201,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-09 10:00,202,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-09 11:00,203,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-09 12:00,204,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-09 13:00,205,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-09 14:00,206,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-09 15:00,207,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-09 16:00,208,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-09 17:00,209,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-09 18:00,210,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-09 19:00,211,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-09 20:00,212,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-09 21:00,213,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-09 22:00,214,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-09 23:00,215,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-10 0:00,216,0.04582,0.04582,0.04582,0.04582,0,0,0,3
2022-01-10 1:00,217,0.04582,0.04582,0.04582,0.04582,0,0,0,3
2022-01-10 2:00,218,0.04582,0.04582,0.04582,0.04582,0,0,0,3
2022-01-10 3:00,219,0.04582,0.04582,0.04582,0.53526,0,0,0,3
2022-01-10 4:00,220,0.04582,0.04582,0.53526,0.53526,0,0,0,3
2022-01-10 5:00,221,0.04582,0.53526,0.53526,0.53526,0,0,0,3
2022-01-10 6:00,222,0.53526,0.53526,0.53526,0.04582,1,1,3,3
2022-01-10 7:00,223,0.53526,0.53526,0.04582,0.04582,1,0,3,3
2022-01-10 8:00,224,0.53526,0.04582,0.04582,0.04582,1,0,3,3
2022-01-10 9:00,225,0.04582,0.04582,0.04582,0.04582,0,0,0,3
2022-01-10 10:00,226,0.04582,0.04582,0.04582,0.04582,0,0,0,3
2022-01-10 11:00,227,0.04582,0.04582,0.04582,0.04582,0,0,0,3
2022-01-10 12:00,228,0.04582,0.04582,0.04582,0.04582,0,0,0,3
2022-01-10 13:00,229,0.04582,0.04582,0.04582,0.53526,0,0,0,3
2022-01-10 14:00,230,0.04582,0.04582,0.53526,0.53526,0,0,0,3
2022-01-10 15:00,231,0.04582,0.53526,0.53526,0.53526,0,0,0,3
2022-01-10 16:00,232,0.53526,0.53526,0.53526,0.53526,1,1,4,3
2022-01-10 17:00,233,0.53526,0.53526,0.53526,0.04582,1,0,4,3
2022-01-10 18:00,234,0.53526,0.53526,0.04582,0.04582,1,0,4,3
2022-01-10 19:00,235,0.53526,0.04582,0.04582,0.04582,1,0,4,3
2022-01-10 20:00,236,0.04582,0.04582,0.04582,0.04582,0,0,0,3
2022-01-10 21:00,237,0.04582,0.04582,0.04582,0.04582,0,0,0,3
2022-01-10 22:00,238,0.04582,0.04582,0.04582,0.04582,0,0,0,3
2022-01-10 23:00,239,0.04582,0.04582,0.04582,0.04582,0,0,0,3
2022-01-11 0:00,240,0.04582,0.04582,0.04582,0.04582,0,0,0,5
2022-01-11 1:00,241,0.04582,0.04582,0.04582,0.04582,0,0,0,5
2022-01-11 2:00,242,0.04582,0.04582,0.04582,0.04582,0,0,0,5
2022-01-11 3:00,243,0.04582,0.04582,0.04582,0.53526,0,0,0,5
2022-01-11 4:00,244,0.04582,0.04582,0.53526,0.53526,0,0,0,5
2022-01-11 5:00,245,0.04582,0.53526,0.53526,0.53526,0,0,0,5
2022-01-11 6:00,246,0.53526,0.53526,0.53526,0.04582,1,1,5,5
2022-01-11 7:00,247,0.53526,0.53526,0.04582,0.04582,1,0,5,5
2022-01-11 8:00,248,0.53526,0.04582,0.04582,0.04582,1,0,5,5
2022-01-11 9:00,249,0.04582,0.04582,0.04582,0.04582,0,0,0,5
2022-01-11 10:00,250,0.04582,0.04582,0.04582,0.04582,0,0,0,5
2022-01-11 11:00,251,0.04582,0.04582,0.04582,0.04582,0,0,0,5
2022-01-11 12:00,252,0.04582,0.04582,0.04582,0.04582,0,0,0,5
2022-01-11 13:00,253,0.04582,0.04582,0.04582,0.53526,0,0,0,5
2022-01-11 14:00,254,0.04582,0.04582,0.53526,0.53526,0,0,0,5
2022-01-11 15:00,255,0.04582,0.53526,0.53526,0.53526,0,0,0,5
2022-01-11 16:00,256,0.53526,0.53526,0.53526,0.53526,1,1,6,5
2022-01-11 17:00,257,0.53526,0.53526,0.53526,0.04582,1,0,6,5
2022-01-11 18:00,258,0.53526,0.53526,0.04582,0.04582,1,0,6,5
2022-01-11 19:00,259,0.53526,0.04582,0.04582,0.04582,1,0,6,5
2022-01-11 20:00,260,0.04582,0.04582,0.04582,0.04582,0,0,0,5
2022-01-11 21:00,261,0.04582,0.04582,0.04582,0.04582,0,0,0,5
2022-01-11 22:00,262,0.04582,0.04582,0.04582,0.04582,0,0,0,5
2022-01-11 23:00,263,0.04582,0.04582,0.04582,0.04582,0,0,0,5
2022-01-12 0:00,264,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-12 1:00,265,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-12 2:00,266,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-12 3:00,267,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-12 4:00,268,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-12 5:00,269,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-12 6:00,270,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-12 7:00,271,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-12 8:00,272,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-12 9:00,273,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-12 10:00,274,0.04582,0.04582,0.04582,0.04582,0,0,0,0
